,call_price,call_antithetic,std,std_antithetic,black_scholes_call
Num Sims,,,,,
2300,3.2886709467909245,3.2624257985481533,6.497506388942879,6.8040302817109595,3.3468747174046953
2400,3.359705423869514,3.288881978357768,6.649404143299448,6.568519034347155,3.3468747174046953
2500,3.1879879231258412,3.230406381627437,6.500877294792008,6.561535502387626,3.3468747174046953
2600,3.454540654860287,3.297905056984386,6.708806729088188,6.707293425740463,3.3468747174046953
2700,3.424300540422589,3.2825354495282357,6.776559635651928,6.681863976861447,3.3468747174046953
2800,3.2885966397736905,3.426451417710181,6.61196895041353,6.7375954674044625,3.3468747174046953
2900,3.2561844093543604,3.26593350052388,6.446112601366032,6.788812135083267,3.3468747174046953
3000,3.338273261292025,3.148352895446331,6.81420170365294,6.303521434648746,3.3468747174046953
3100,3.456675438790195,3.568571743930888,6.805544408840942,7.007288234926456,3.3468747174046953
3200,3.359542347422092,3.308912837687907,6.6288026058536,6.69203693741206,3.3468747174046953
3300,3.3067757150390213,3.4360604353895545,6.508224432835852,6.730623581209871,3.3468747174046953
3400,3.335925331630632,3.378326323476977,6.742441347404164,6.564590901040524,3.3468747174046953
3500,3.435563547684932,3.3368202347838434,6.7756635400412994,6.601731393475253,3.3468747174046953
3600,3.292154751135566,3.2213274411120776,6.578667366553074,6.56478403564684,3.3468747174046953
3700,3.2536267682241315,3.3064606580397626,6.50301828211369,6.536317651428452,3.3468747174046953
3800,3.2579866313497865,3.263540262581255,6.46482061305464,6.484363118948491,3.3468747174046953
3900,3.400022205867808,3.496308187202529,6.789353566593276,7.0230596334512025,3.3468747174046953
4000,3.5010737180376763,3.1932108681886877,7.055068679392124,6.610644572000273,3.3468747174046953
4100,3.285731853867486,3.518460126013317,6.560202508586365,6.849185316351226,3.3468747174046953
4200,3.278883145020789,3.2344441343676267,6.7318771046064665,6.335102694530136,3.3468747174046953
4300,3.3673167758309797,3.440667911435829,6.614562392026323,6.665837925284758,3.3468747174046953
